,Date,City,Country,Cloudiness,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
162,2021-06-02 12:37:05,lencois paulista,BR,1,34,-22.5986,-48.8003,302.42,2.89
163,2021-06-02 12:37:06,itapirapua,BR,29,20,-15.8233,-50.6133,308.02,2.36
164,2021-06-02 12:37:08,samfya,ZM,69,48,-11.3649,29.5565,295.66,0.5
165,2021-06-02 12:37:09,santa isabel do rio negro,BR,59,55,-0.4139,-65.0192,305.47,1.05
166,2021-06-02 12:37:11,kodiak,US,90,87,57.79,-152.4072,281.88,2.57
167,2021-06-02 12:32:43,beira,MZ,40,78,-19.8436,34.8389,297.2,5.66
168,2021-06-02 12:37:14,jingdezhen,CN,45,97,29.2947,117.2079,296.48,0.52
169,2021-06-02 12:37:15,brooks,CA,2,36,50.5834,-111.8851,301.03,1.03
170,2021-06-02 12:37:17,huamachuco,PE,94,56,-7.8,-78.0667,289.55,2.12
171,2021-06-02 12:37:18,te anau,NZ,30,91,-45.4167,167.7167,279.64,0.52
172,2021-06-02 12:37:19,suining,CN,83,50,30.508,105.5733,296.72,5.97
173,2021-06-02 12:37:21,lundazi,ZM,80,75,-12.2929,33.1782,290.95,3.24
174,2021-06-02 12:37:22,sorkjosen,NO,0,52,69.8,20.9333,291.15,3.09
175,2021-06-02 12:37:23,lebu,CL,56,77,-37.6167,-73.65,287.15,2.24
176,2021-06-02 12:37:25,berdigestyakh,RU,78,78,62.0989,126.6992,282.6,1.28
177,2021-06-02 12:37:26,saiki,JP,86,91,32.95,131.9,293.17,4.17
178,2021-06-02 12:37:29,severo-kurilsk,RU,25,90,50.6789,156.125,277.51,3.69
179,2021-06-02 12:37:30,antofagasta,CL,50,56,-23.65,-70.4,294.38,2.13
180,2021-06-02 12:37:31,kolda,SN,0,24,12.8833,-14.95,313.32,3.09
181,2021-06-02 12:37:33,rizhao,CN,97,96,35.4275,119.4553,292.32,0.88
182,2021-06-02 12:33:08,cape town,ZA,20,80,-33.9258,18.4232,289.88,2.24
183,2021-06-02 12:37:35,san patricio,US,99,57,28.017,-97.5169,304.21,3.02
184,2021-06-02 12:37:37,acarau,BR,38,71,-2.8856,-40.12,301.92,6.29
185,2021-06-02 12:37:39,vao,NC,84,64,-22.6667,167.4833,293.87,3.82
186,2021-06-02 12:37:41,lagoa,PT,86,59,39.05,-27.9833,288.43,2.35
187,2021-06-02 12:37:43,iwanai,JP,65,91,42.9744,140.5089,283.99,2.6
188,2021-06-02 12:33:37,cabo san lucas,MX,40,37,22.8909,-109.9124,306.82,6.69
189,2021-06-02 12:37:45,geraldton,AU,0,82,-28.7667,114.6,285.38,4.39
190,2021-06-02 12:37:47,bredasdorp,ZA,95,94,-34.5322,20.0403,287.77,4.33
191,2021-06-02 12:37:48,bloemhof,ZA,75,60,-27.6469,25.607,285.15,7.97
192,2021-06-02 12:37:50,amaraji,BR,71,70,-8.3831,-35.4525,298.51,4.38
193,2021-06-02 12:37:51,laguna,US,1,50,38.421,-121.4238,310.18,3.78
194,2021-06-02 12:33:59,thompson,CA,20,44,55.7435,-97.8558,298.24,5.14
195,2021-06-02 12:37:54,matagami,CA,75,38,49.7502,-77.6328,296.21,4.8
196,2021-06-02 12:37:55,provideniya,RU,22,57,64.3833,-173.3,274.19,2.37
197,2021-06-02 12:37:56,awbari,LY,80,11,26.5921,12.7805,309.98,4.97
198,2021-06-02 12:37:58,hambantota,LK,83,83,6.1241,81.1185,299.85,7.06
199,2021-06-02 12:37:59,chingola,ZM,85,49,-12.529,27.8838,292.65,0.64
200,2021-06-02 12:38:01,sur,OM,1,40,22.5667,59.5289,307.64,4.63
201,2021-06-02 12:38:02,vila,PT,100,84,42.0304,-8.1588,289.12,1.67
202,2021-06-02 12:38:04,nampula,MZ,40,78,-15.1165,39.2666,296.12,3.6
203,2021-06-02 12:38:05,lata,PT,99,75,40.1629,-8.3327,292.06,3.52
204,2021-06-02 12:37:36,alice springs,AU,49,66,-23.7,133.8833,282.9,2.97
205,2021-06-02 12:38:09,aktas,KZ,100,75,49.7789,72.9608,292.01,2.8
206,2021-06-02 12:38:10,hobart,AU,90,76,-42.8794,147.3294,285.52,1.34
207,2021-06-02 12:38:12,kalabo,ZM,16,32,-14.97,22.6814,291.77,1.33
208,2021-06-02 12:38:13,mersing,MY,39,94,2.4312,103.8405,298.1,1.54
209,2021-06-02 12:38:14,port blair,IN,43,75,11.6667,92.75,301.79,1.65
210,2021-06-02 12:38:16,pisco,PE,90,94,-13.7,-76.2167,290.94,2.06
211,2021-06-02 12:38:17,guiratinga,BR,40,34,-16.3494,-53.7583,304.12,2.38
212,2021-06-02 12:38:18,sinnamary,GF,29,81,5.3833,-52.95,300.76,2.66
213,2021-06-02 12:38:20,luba,GQ,100,80,3.4568,8.5547,300.09,2.7
214,2021-06-02 12:38:21,tuktoyaktuk,CA,75,69,69.4541,-133.0374,274.15,6.17
215,2021-06-02 12:38:23,nuuk,GL,75,65,64.1835,-51.7216,280.49,7.2
216,2021-06-02 12:38:24,lompoc,US,90,100,34.6391,-120.4579,302.11,3.83
217,2021-06-02 12:38:25,kirakira,SB,35,89,-10.4544,161.9205,299.14,3.92
218,2021-06-02 12:37:55,kahului,US,20,68,20.8947,-156.47,299.73,4.12
219,2021-06-02 12:38:28,sao filipe,CV,70,75,14.8961,-24.4956,297.06,5.48
220,2021-06-02 12:38:30,fortuna,US,75,94,40.5982,-124.1573,297.27,4.12
221,2021-06-02 12:38:31,srednekolymsk,RU,84,36,67.45,153.6833,287.89,1.77
222,2021-06-02 12:38:33,susangerd,IR,0,8,31.5608,48.1831,313.16,11.08
223,2021-06-02 12:38:34,amga,RU,61,71,60.8953,131.9608,282.6,1.02
224,2021-06-02 12:38:36,marand,IR,1,30,38.4329,45.7749,297.34,2.14
225,2021-06-02 12:38:37,yar-sale,RU,97,75,66.8333,70.8333,276.52,4.23
226,2021-06-02 12:38:39,sechura,PE,92,61,-5.5569,-80.8222,298.09,5.05
